Distance (um),CnbGFP,ChJup,frame,normalized GFP,normalized RFP
2.38333,27.4035,129.8617,32,0.342966456,0.637476928
2.56667,34.4102,139.346,32,0.430658286,0.684034323
2.75,38.6212,143.6641,32,0.483360742,0.705231405
2.93333,42.1611,152.4722,32,0.527664096,0.748469408
3.11667,42.33,142.5196,32,0.529777951,0.699613179
3.3,52.1818,140.4545,32,0.653077418,0.689475829
3.48333,51.4613,140.1987,32,0.644060054,0.688220134
3.66667,44.385,122.3662,32,0.55549715,0.600682336
3.85,37.5909,105.2146,32,0.470466099,0.516487001
4.03333,33.7407,92.7191,32,0.422279209,0.455147954
4.21667,32.7486,88.7343,32,0.409862656,0.435587005
4.4,31.5884,87.149,32,0.395342259,0.42780494
4.58333,33.9705,85.7977,32,0.425155254,0.421171556
4.76667,29.2677,80.3973,32,0.366297712,0.394661581
4.95,25.6818,82,32,0.321418648,0.402529061
5.13333,31.0112,81.5121,32,0.388118356,0.400134013
5.31667,28.7536,82.0202,32,0.359863532,0.40262822
5.5,25.8182,82.4444,32,0.323125752,0.404710572
5.68333,27.0485,74.6277,32,0.33852348,0.366339244
5.86667,26.6619,70.9032,32,0.333685017,0.348056079
6.05,27.8333,68.1667,32,0.348345586,0.334622899
