Distance (um),ChJup,frame,normalized RFP
0.36669,245.255,42,0.453842268
0.55003,255.195,42,0.472236152
0.73337,265.609,42,0.49150717
0.91672,242.639,42,0.449001382
1.10006,250.483,42,0.463516637
1.2834,272.591,42,0.504427301
1.46675,302.279,42,0.559364689
1.65009,330.43,42,0.611457873
1.83343,353.967,42,0.655012889
2.01678,371.734,42,0.687890569
2.20012,396.986,42,0.734619178
2.38346,442.731,42,0.819269907
2.56681,469.978,42,0.869690246
2.75015,492.846,42,0.912007284
2.93349,492.728,42,0.911788926
3.11684,490.205,42,0.907120136
3.30018,488.768,42,0.90446098
3.48353,458.818,42,0.849038762
3.66687,430.064,42,0.795829733
3.85021,391.623,42,0.724694993
4.03356,340.047,42,0.629254048
4.2169,292.928,42,0.542060744
4.40024,243.072,42,0.449802645
4.58359,226.736,42,0.419573018
4.76693,202.712,42,0.375116812
4.95027,190.901,42,0.353260658
5.13362,163.048,42,0.301718921
5.31696,145.691,42,0.269599942
5.5003,137.175,42,0.253841158
5.68365,136.812,42,0.253169429
5.86699,133.193,42,0.246472501
6.05033,126.031,42,0.233219281
0,200.438,47,0.370908795
0.18334,212.461,47,0.393157253
0.36669,209.42,47,0.387529909
0.55003,215.483,47,0.398749438
0.73337,227.152,47,0.420342822
0.91672,231.525,47,0.428435021
1.10006,248.295,47,0.459467762
1.2834,251.11,47,0.464676895
1.46675,285.107,47,0.527588051
1.65009,290.594,47,0.537741697
1.83343,326.692,47,0.604540736
2.01678,346.188,47,0.640617916
2.20012,372.107,47,0.688580803
2.38346,408.067,47,0.755124473
2.56681,392.007,47,0.725405581
2.75015,398.409,47,0.737252427
2.93349,415.195,47,0.768314776
3.11684,389.49,47,0.720747895
3.30018,374.628,47,0.693245891
3.48353,337.847,47,0.625182967
3.66687,299.49,47,0.554203669
3.85021,278.622,47,0.515587614
4.03356,277.141,47,0.512847037
4.2169,239.102,47,0.442456194
4.40024,219.399,47,0.405995962
4.58359,237.803,47,0.440052406
4.76693,247.293,47,0.457613569
4.95027,235.601,47,0.435977624
5.13362,225.296,47,0.41690831
5.31696,217.972,47,0.403355311
5.5003,213.365,47,0.394830097
5.68365,214.637,47,0.397183922
5.86699,202.491,47,0.374707854
6.05033,208.281,47,0.385422199
