Distance (um),AC ,BC  ,frame,normalized AC RFP,normalized BC RFP
3.85,364.611,335.962,33,0.560030166,0.469010402
4.03333,304.636,310.171,33,0.467910594,0.433005594
4.21667,274.19,283.698,33,0.421146568,0.396048699
4.4,263.79,250.974,33,0.40517252,0.350365269
4.58333,243.871,250.424,33,0.374577609,0.349597457
4.76667,222.01,256.741,33,0.340999853,0.358416129
4.95,223.141,229.313,33,0.34273703,0.320126033
5.13333,219.647,212.283,33,0.337370364,0.296351775
5.31667,208.106,224.319,33,0.319643779,0.313154298
5.5,193.402,213.406,33,0.297058932,0.297919508
5.68333,189.568,204.563,33,0.291170038,0.285574484
5.86667,185.792,196.771,33,0.285370229,0.274696679
